Degree,Sine
0,0.0
10,0.17364817766693036
20,0.34202014332566877
30,0.4999999999999999
40,0.6427876096865393
50,0.7660444431189781
60,0.8660254037844385
70,0.9396926207859083
80,0.984807753012208
90,1.0
100,0.9848077530122081
110,0.9396926207859084
120,0.8660254037844387
130,0.7660444431189781
140,0.6427876096865395
150,0.4999999999999999
160,0.34202014332566893
170,0.17364817766693028
180,1.2246467991473532e-16
190,-0.1736481776669305
200,-0.3420201433256687
210,-0.5000000000000001
220,-0.6427876096865393
230,-0.766044443118978
240,-0.8660254037844383
250,-0.9396926207859084
260,-0.984807753012208
270,-1.0
280,-0.9848077530122081
290,-0.9396926207859083
300,-0.8660254037844385
310,-0.7660444431189782
320,-0.6427876096865395
330,-0.5000000000000003
340,-0.3420201433256686
350,-0.17364817766693041
360,-2.4492935982947064e-16
