Student_ID,Mathematics,Physics,Chemistry,Computer,Age
1,55.1,61.2,47.9,80.2,18
2,61.3,53.3,60.9,54.1,19
3,77.9,47.6,62.8,70.2,20
4,66.9,65.7,66.7,65.5,21
5,74.2,49.8,62.7,81.0,18
6,70.8,55.7,75.6,70.0,19
7,58.6,58.9,47.8,76.6,22
8,70.4,64.6,68.3,67.3,19
9,61.8,65.5,64.5,70.8,18
10,61.8,60.7,76.9,87.2,18
11,66.0,36.8,63.4,86.7,22
12,49.7,57.5,65.5,52.7,18
13,76.9,50.7,81.4,71.4,21
14,58.3,58.7,70.8,70.2,18
15,75.0,71.9,68.7,58.3,21
16,66.4,69.7,57.7,61.1,19
17,80.3,62.6,63.5,69.7,20
18,58.4,66.1,43.8,76.6,20
19,61.9,42.1,52.7,72.7,22
20,68.4,62.3,69.1,64.2,20
21,42.9,67.5,42.4,58.4,22
22,73.3,51.5,63.0,49.2,19
23,80.4,64.9,62.2,81.9,21
24,76.3,55.4,66.3,63.0,20
25,72.5,72.0,43.3,60.3,20
26,63.5,73.3,39.7,71.0,18
27,77.8,53.6,74.2,67.2,18
28,75.7,77.6,63.2,67.9,20
29,68.9,57.7,66.5,73.9,19
30,65.1,84.7,79.8,63.6,21
31,61.4,54.1,63.9,58.5,18
32,52.7,60.8,40.4,66.7,21
33,77.3,62.6,58.6,68.6,18
34,43.3,51.0,71.0,58.2,22
35,61.3,39.3,57.3,58.1,19
36,66.6,50.4,58.7,58.6,20
37,73.6,73.0,55.4,75.3,19
38,82.6,56.1,78.1,80.5,22
39,74.9,56.1,75.7,79.5,22
40,62.1,78.2,42.1,59.8,22
41,72.3,65.9,82.9,61.8,21
42,52.4,68.4,53.5,56.5,18
43,79.3,70.2,84.3,84.5,19
44,63.4,49.1,47.5,63.6,20
45,58.3,61.5,74.1,67.7,20
46,58.6,61.8,55.8,63.7,19
47,64.4,58.1,60.3,69.5,21
48,61.1,46.9,71.7,58.6,21
49,87.9,65.6,53.9,62.4,21
50,57.8,40.1,65.5,59.8,21
51,65.3,48.8,65.4,46.7,22
52,65.3,50.3,75.1,70.3,22
53,65.3,55.1,77.0,74.6,20
54,65.6,70.1,82.7,76.7,18
55,60.2,79.9,65.3,82.0,22
56,59.2,80.7,66.5,76.5,20
57,56.4,69.7,55.7,67.3,20
58,50.1,65.3,53.6,72.9,19
59,67.2,32.0,47.5,63.2,21
60,74.8,73.6,59.5,75.1,21
61,59.6,91.5,63.7,65.4,18
62,59.4,65.4,62.2,47.1,20
63,61.8,62.8,68.3,67.7,21
64,60.4,68.4,47.1,68.6,20
65,50.6,68.7,81.1,57.4,20
66,78.7,61.6,65.4,72.3,18
67,69.4,55.5,74.0,78.7,19
68,57.9,64.3,65.8,57.6,22
69,68.0,43.5,52.4,74.8,21
70,60.6,37.4,58.4,75.8,19
71,62.9,76.3,25.7,59.4,19
72,68.6,54.5,64.4,64.0,19
73,74.5,68.6,61.2,58.2,19
74,80.2,78.7,75.3,62.8,19
75,82.0,74.6,42.7,67.5,18
76,62.5,53.4,61.1,78.5,19
77,60.0,63.9,58.6,62.2,19
78,66.0,46.0,48.1,54.0,19
79,66.3,58.7,45.9,39.7,20
80,57.7,72.6,49.1,62.0,19
81,58.8,60.4,72.8,56.2,22
82,73.1,25.8,72.8,69.7,20
83,81.4,33.0,46.2,70.1,21
84,62.7,50.4,60.2,53.7,22
85,58.5,76.0,67.2,71.3,19
86,62.2,62.4,65.6,66.1,22
87,55.0,61.7,45.3,65.7,22
88,62.3,44.2,55.4,63.3,21
89,69.2,61.8,46.2,76.6,21
90,64.2,32.7,73.2,73.4,20
91,77.3,64.1,90.5,69.7,19
92,66.5,74.2,61.5,78.4,21
93,69.8,50.2,38.4,68.3,20
94,63.5,73.0,71.0,69.2,20
95,78.2,51.4,79.1,72.8,18
96,52.8,61.8,78.3,65.6,18
97,62.0,58.4,63.8,57.2,20
98,53.3,61.1,67.8,83.9,18
99,73.3,78.3,63.0,76.5,22
100,73.5,70.6,69.9,56.3,20
101,59.8,51.9,72.4,59.2,22
102,81.6,26.8,53.7,58.4,18
103,62.0,70.7,55.5,54.3,18
104,51.2,69.2,58.2,71.3,18
105,62.2,62.0,59.5,81.5,19
106,68.6,53.3,64.1,71.5,21
107,62.7,79.2,74.3,82.0,19
108,87.7,38.6,47.6,64.2,22
109,73.6,50.6,72.1,70.4,22
110,82.3,42.4,59.8,59.7,18
111,78.9,64.5,30.5,68.2,21
112,48.1,54.4,57.6,77.7,21
113,61.2,85.3,59.0,74.4,22
114,37.7,60.2,68.0,77.2,20
115,58.5,57.1,68.5,64.3,18
116,76.2,66.9,61.9,76.2,18
117,56.6,51.2,53.0,81.1,18
118,58.6,47.0,72.5,73.1,21
119,68.3,66.4,54.6,55.5,18
120,72.9,54.1,48.9,70.5,21
121,61.4,71.7,54.9,70.2,18
122,62.4,64.0,56.1,62.0,22
123,73.1,61.4,60.7,58.7,18
124,67.5,60.8,57.1,60.7,21
125,62.1,59.0,58.0,78.3,18
126,68.1,64.9,70.2,69.2,21
127,65.8,55.2,70.8,83.0,18
128,67.5,36.5,67.9,51.8,19
129,85.0,60.9,58.6,71.8,22
130,61.9,54.5,54.7,82.4,20
131,59.6,43.5,59.5,84.5,19
132,79.1,69.4,60.4,63.1,21
133,57.9,55.4,71.3,82.3,21
134,82.2,39.1,58.9,77.8,18
135,63.1,59.1,48.7,78.6,20
136,65.7,51.9,52.8,69.9,18
137,72.3,39.6,81.4,77.1,20
138,77.1,63.7,51.7,76.2,19
139,75.0,47.4,48.1,62.6,19
140,63.0,68.6,58.8,43.7,21
141,61.3,49.2,81.4,78.3,20
142,68.5,71.7,63.1,77.6,20
143,66.3,65.1,65.2,74.8,18
144,58.6,61.3,44.7,64.5,19
145,69.1,50.9,45.5,64.4,19
146,74.9,70.9,62.0,53.9,21
147,66.7,66.0,57.0,82.7,19
148,80.6,55.7,66.3,67.3,21
149,69.1,67.0,49.9,75.7,22
150,63.4,47.7,73.6,65.0,18
