X,Y,Group,Response,Category
4.697,10.761,B,54.52,Red
4.477,14.534,A,49.18,Red
1.241,1.053,A,34.95,Blue
7.548,21.347,A,40.24,Yellow
9.73,30.398,A,58.08,Green
0.83,2.141,A,54.18,Blue
3.043,6.147,A,51.24,Yellow
7.961,21.94,A,50.63,Red
4.011,12.362,A,45.53,Green
9.826,28.539,B,50.1,Blue
2.367,10.42,B,58.56,Yellow
5.574,16.866,A,39.19,Yellow
5.265,16.152,B,61.08,Blue
3.194,9.221,A,55.85,Yellow
2.422,9.389,B,54.33,Green
5.475,15.444,A,43.28,Yellow
3.383,8.066,B,53.18,Blue
8.074,23.477,B,59.2,Yellow
3.644,11.871,B,55.93,Blue
1.764,4.275,A,54.52,Green
7.777,23.36,A,49.11,Red
6.82,21.833,B,50.44,Green
2.898,12.445,A,64.73,Green
0.091,-0.817,A,56.68,Blue
9.292,30.367,B,47.16,Green
6.334,16.182,B,61.01,Red
5.068,16.975,A,45.53,Red
5.092,15.891,A,33.7,Blue
3.759,9.555,B,61.89,Yellow
4.932,17.93,B,60.18,Red
6.463,17.795,B,66.62,Yellow
9.691,31.201,A,39.66,Blue
3.546,13.839,B,42.85,Green
7.676,27.147,B,35.61,Yellow
7.381,24.312,B,53.17,Green
3.832,10.508,B,68.01,Green
7.111,21.974,B,56.65,Green
0.232,4.067,A,44.51,Red
9.583,28.509,B,51.08,Yellow
7.584,24.882,B,35.76,Blue
2.615,9.916,A,56.17,Yellow
4.517,15.07,B,55.64,Blue
6.542,16.8,B,51.57,Red
2.749,9.583,A,48.8,Yellow
3.973,13.481,A,46.47,Red
7.384,22.809,A,42.84,Green
6.64,17.142,A,38.04,Green
5.189,16.973,B,50.52,Red
2.696,7.383,B,65.01,Yellow
1.487,2.535,B,55.99,Red
6.363,20.281,A,51.4,Green
8.825,26.329,B,52.51,Yellow
2.765,7.366,A,50.8,Yellow
1.262,2.632,B,55.37,Yellow
2.165,4.456,B,61.19,Red
7.032,21.303,A,54.94,Red
6.912,20.731,B,64.86,Green
2.528,6.986,B,69.67,Yellow
1.239,2.971,A,53.82,Green
9.434,25.751,B,57.26,Blue
1.203,1.442,A,50.43,Yellow
9.591,29.31,B,47.85,Yellow
8.981,25.455,B,65.67,Green
9.303,27.848,B,46.55,Blue
4.923,17.017,B,65.98,Blue
0.589,4.411,B,69.55,Yellow
1.503,2.427,A,69.04,Blue
8.049,24.589,B,64.84,Green
3.255,8.145,A,62.42,Green
7.817,25.39,B,69.85,Green
4.015,11.875,B,73.36,Blue
2.609,8.772,A,57.85,Yellow
7.39,22.671,B,56.86,Red
7.09,19.444,A,53.18,Blue
8.84,27.607,A,48.69,Red
6.753,19.143,A,53.83,Yellow
3.976,7.071,A,62.75,Green
1.109,5.714,A,47.63,Red
0.572,4.84,B,56.17,Yellow
2.325,5.116,A,42.55,Yellow
5.827,20.557,A,53.32,Blue
8.86,24.813,B,47.97,Yellow
6.56,19.468,B,58.55,Red
5.374,13.893,B,55.31,Yellow
2.017,3.689,A,47.87,Blue
9.828,29.991,A,51.74,Green
4.438,11.444,A,47.5,Blue
4.119,12.579,B,50.9,Red
1.909,4.307,A,40.66,Green
8.963,24.033,B,51.64,Red
6.592,16.71,B,54.56,Yellow
1.126,3.208,B,56.67,Blue
2.326,5.411,B,49.98,Green
1.202,3.232,B,53.75,Yellow
1.564,4.32,B,71.64,Blue
2.014,4.632,B,41.48,Green
3.838,11.701,B,51.93,Green
2.142,7.169,B,72.57,Green
9.172,28.653,B,52.78,Red
7.59,26.047,B,49.68,Green
9.306,28.638,B,55.56,Blue
1.999,3.687,B,54.14,Red
8.119,22.518,A,68.04,Green
4.213,11.221,A,55.4,Blue
9.312,27.447,B,50.91,Green
2.702,8.764,A,58.96,Red
6.148,17.593,B,57.49,Red
1.812,4.889,B,42.56,Blue
0.204,1.896,A,56.59,Blue
5.173,13.539,B,55.46,Red
1.017,7.031,B,55.03,Yellow
3.855,13.787,A,50.45,Yellow
5.129,18.073,B,53.77,Blue
6.952,20.048,A,72.47,Yellow
5.95,19.378,B,47.33,Blue
9.571,29.34,A,62.78,Red
7.126,25.791,A,60.94,Blue
4.53,10.229,B,59.48,Blue
1.794,6.743,A,70.04,Green
2.895,11.929,B,50.02,Blue
2.252,7.196,A,36.48,Green
5.094,17.479,B,47.65,Red
9.54,27.148,A,49.52,Green
4.424,12.315,B,50.03,Green
2.162,6.583,B,64.08,Red
3.901,13.562,B,44.79,Green
4.742,15.302,A,42.52,Green
2.283,7.143,A,42.08,Green
2.206,5.381,B,35.59,Blue
0.787,0.877,A,57.58,Red
2.571,8.471,B,67.57,Yellow
5.369,17.882,B,47.66,Yellow
1.023,-0.068,B,49.99,Blue
6.836,23.148,B,65.74,Red
6.653,18.367,B,59.44,Blue
1.61,7.727,A,56.26,Blue
5.327,16.276,A,45.85,Green
0.162,1.629,B,50.98,Green
2.784,12.986,B,59.17,Red
6.195,18.819,B,56.29,Blue
4.434,14.891,B,45.8,Yellow
2.826,10.994,A,51.24,Red
1.113,0.24,B,58.22,Green
0.692,6.29,B,51.54,Blue
8.438,24.011,A,45.95,Red
5.711,14.37,A,62.35,Blue
1.556,2.303,A,47.16,Red
3.61,8.585,B,43.63,Blue
8.567,26.97,B,50.45,Blue
3.081,6.988,B,53.84,Red
