Date,Product,Region,Sales,Quantity
2025-01-01,Tablet,West,50792.45,17.0
2025-01-02,Laptop,South,72066.25,13.0
2025-01-03,Laptop,South,45394.43,3.0
2025-01-04,Laptop,East,61204.76,10.0
2025-01-05,Accessory,East,36131.75,2.0
2025-01-06,Tablet,West,34509.75,3.0
2025-01-07,Tablet,East,48919.27,2.0
2025-01-08,Laptop,West,62502.74,18.0
2025-01-09,Phone,East,36067.07,16.0
2025-01-10,Laptop,East,39788.94,14.0
2025-01-11,Laptop,North,50409.55,3.0
2025-01-12,Tablet,East,46866.97,12.0
2025-01-13,,North,46647.27,19.0
2025-01-14,Laptop,North,42876.14,19.0
2025-01-15,Phone,West,48682.57,12.0
2025-01-16,Phone,South,61445.56,19.0
2025-01-17,Phone,East,43771.64,19.0
2025-01-18,Accessory,North,44615.13,6.0
2025-01-19,Phone,North,,
2025-01-20,,North,47364.9,3.0
2025-01-21,Tablet,East,63096.74,9.0
2025-01-22,Tablet,West,53707.29,1.0
,Accessory,South,44059.32,12.0
2025-01-24,Accessory,West,56727.28,9.0
2025-01-25,Accessory,South,55258.09,2.0
2025-01-26,Tablet,South,13565.99,5.0
2025-01-27,Phone,East,32676.67,
2025-01-28,,West,,8.0
2025-01-29,Tablet,North,38664.03,8.0
2025-01-30,Phone,North,25217.4,11.0
2025-01-31,Laptop,South,57001.79,
2025-02-01,Accessory,South,63855.05,14.0
2025-02-02,Accessory,North,51535.62,17.0
2025-02-03,Phone,North,58939.27,3.0
2025-02-04,Phone,North,62504.71,19.0
,Tablet,East,26013.99,10.0
2025-02-06,Accessory,East,55826.55,16.0
2025-02-07,Accessory,East,48056.06,9.0
2025-02-08,Tablet,,52956.54,15.0
2025-02-09,Tablet,East,48097.92,19.0
2025-02-10,Tablet,East,58317.68,15.0
2025-02-11,Laptop,South,40844.93,4.0
2025-02-12,Laptop,,27656.75,18.0
2025-02-13,Phone,North,51335.26,5.0
2025-02-14,Laptop,East,60619.11,13.0
2025-02-15,Tablet,East,53325.52,11.0
2025-02-16,Tablet,East,57640.29,18.0
2025-02-17,Phone,East,60135.34,15.0
,,North,59992.7,19.0
,Phone,West,66267.93,17.0
2025-02-20,Phone,North,44081.57,16.0
2025-02-21,Accessory,West,67691.22,19.0
2025-02-22,Accessory,West,43005.78,7.0
2025-02-23,Accessory,North,44305.8,9.0
2025-02-24,Phone,North,48945.75,9.0
2025-02-25,Phone,West,67258.4,19.0
2025-02-26,Laptop,East,44871.79,13.0
2025-02-27,Tablet,East,49350.93,15.0
2025-02-28,Phone,East,71057.47,6.0
2025-03-01,Accessory,North,69271.3,5.0
2025-03-02,Tablet,South,60556.48,14.0
2025-03-03,Laptop,South,44850.29,3.0
2025-03-04,Accessory,West,47236.32,17.0
2025-03-05,Tablet,East,41011.06,16.0
