Date,Product,Region,Sales,Quantity
2025-01-01,Phone,West,31545.19,3.0
,Accessory,East,60022.2,1.0
2025-01-03,Tablet,East,55725.84,19.0
,Phone,West,44842.87,11.0
2025-01-05,Laptop,North,48935.16,16.0
2025-01-06,Accessory,South,58483.82,4.0
2025-01-07,Phone,North,42826.01,5.0
2025-01-08,Tablet,North,31740.34,5.0
2025-01-09,Tablet,East,53384.22,
2025-01-10,Phone,East,39839.91,11.0
2025-01-11,Phone,West,45043.04,7.0
2025-01-12,Accessory,,50630.01,4.0
2025-01-13,Accessory,,58847.09,8.0
2025-01-14,Accessory,South,71800.0,14.0
2025-01-15,Laptop,North,54110.66,12.0
2025-01-16,Phone,North,51381.5,1.0
2025-01-17,Laptop,,59834.08,12.0
2025-01-18,Accessory,South,53429.14,1.0
2025-01-19,Tablet,North,29705.76,4.0
2025-01-20,Laptop,North,42765.92,6.0
2025-01-21,Accessory,North,35123.86,18.0
2025-01-22,Accessory,West,58359.37,2.0
2025-01-23,Phone,North,65280.52,4.0
2025-01-24,Tablet,South,54274.5,17.0
,Laptop,South,37621.53,4.0
2025-01-26,Phone,East,59613.95,15.0
2025-01-27,Tablet,South,38437.32,17.0
2025-01-28,,East,53039.94,11.0
2025-01-29,Accessory,North,35601.64,4.0
2025-01-30,Accessory,South,33354.59,
2025-01-31,Tablet,East,33146.68,12.0
2025-02-01,Tablet,South,50207.37,1.0
2025-02-02,Accessory,East,42057.81,9.0
2025-02-03,Phone,North,55237.15,5.0
2025-02-04,Phone,North,34407.91,13.0
2025-02-05,Phone,East,55883.06,10.0
2025-02-06,Phone,East,42569.23,3.0
2025-02-07,Tablet,North,65031.03,16.0
2025-02-08,Phone,East,62236.85,11.0
2025-02-09,Phone,North,47404.9,12.0
2025-02-10,Tablet,South,51299.37,15.0
2025-02-11,Tablet,West,52923.19,7.0
2025-02-12,Laptop,North,55565.08,18.0
2025-02-13,Phone,South,46709.28,5.0
2025-02-14,Phone,West,63147.77,14.0
2025-02-15,Laptop,South,43898.61,17.0
2025-02-16,Laptop,West,26898.38,11.0
2025-02-17,Phone,East,52956.32,11.0
2025-02-18,Laptop,East,48699.3,16.0
2025-02-19,Accessory,South,59989.03,17.0
2025-02-20,Accessory,West,57151.96,7.0
2025-02-21,Accessory,South,,2.0
2025-02-22,Phone,West,51287.44,9.0
2025-02-23,Tablet,South,51520.59,16.0
2025-02-24,Tablet,North,42088.74,12.0
2025-02-25,Phone,East,35390.69,2.0
2025-02-26,Phone,South,40148.95,19.0
2025-02-27,Accessory,North,48904.11,7.0
2025-02-28,Phone,,22815.65,
2025-03-01,Accessory,South,,8.0
2025-03-02,Phone,West,38216.67,4.0
2025-03-03,Laptop,West,48941.91,2.0
2025-03-04,Accessory,West,40238.67,15.0
2025-03-05,Tablet,East,50747.48,18.0
2025-03-06,Tablet,North,47262.14,8.0
2025-03-07,Accessory,South,65552.92,8.0
2025-03-08,Laptop,West,45881.06,14.0
2025-03-09,Accessory,South,47077.64,2.0
2025-03-10,Laptop,East,50308.95,6.0
2025-03-11,Phone,North,28185.37,14.0
2025-03-12,Accessory,East,37133.83,4.0
2025-03-13,Phone,West,67234.86,7.0
2025-03-14,Laptop,North,56197.96,14.0
2025-03-15,Tablet,West,51011.36,12.0
2025-03-16,,North,62978.47,1.0
2025-03-17,Accessory,West,47837.07,13.0
2025-03-18,Laptop,South,47010.18,6.0
2025-03-19,Tablet,South,46368.01,19.0
2025-03-20,Accessory,North,28688.89,11.0
2025-03-21,Phone,East,61269.01,11.0
2025-03-22,Laptop,North,47729.86,17.0
2025-03-23,Phone,South,48870.7,13.0
2025-03-24,Laptop,North,45989.29,13.0
,Laptop,West,42380.42,19.0
2025-03-26,Phone,North,22890.78,4.0
,Phone,East,51813.61,7.0
2025-03-28,Tablet,East,76172.2,6.0
2025-03-29,,South,61857.98,7.0
2025-03-30,Phone,North,46541.98,
2025-03-31,Laptop,South,38903.68,14.0
,Phone,,50308.24,3.0
2025-04-02,Laptop,South,54450.8,13.0
2025-04-03,Phone,South,48556.14,18.0
2025-04-04,Laptop,East,60008.64,7.0
2025-04-05,Laptop,West,38562.18,19.0
2025-04-06,Tablet,West,62812.12,18.0
2025-04-07,Laptop,West,51861.52,18.0
2025-04-08,Laptop,North,43409.86,19.0
2025-04-09,Phone,West,46596.02,9.0
2025-04-10,Tablet,West,54168.07,19.0
2025-04-11,Accessory,East,59147.59,11.0
2025-04-12,Tablet,West,50869.32,14.0
2025-04-13,Phone,North,56982.57,17.0
2025-04-14,Accessory,West,78842.3,16.0
,Tablet,,30333.18,2.0
2025-04-16,Phone,North,25935.71,18.0
2025-04-17,Phone,West,51064.85,10.0
2025-04-18,Accessory,North,38386.91,12.0
2025-04-19,Laptop,South,51356.32,10.0
2025-04-20,Laptop,East,30675.01,18.0
2025-04-21,Laptop,North,51595.04,17.0
2025-04-22,Tablet,West,65730.41,11.0
2025-04-23,Phone,North,63301.72,8.0
2025-04-24,Accessory,South,36824.0,7.0
2025-04-25,Tablet,West,46285.43,8.0
2025-04-26,Laptop,North,60622.01,10.0
2025-04-27,Accessory,,71894.5,8.0
2025-04-28,Accessory,South,38562.7,4.0
2025-04-29,Phone,East,39751.37,15.0
2025-04-30,Laptop,West,63411.67,19.0
2025-05-01,Laptop,North,45689.3,12.0
2025-05-02,Tablet,West,37679.26,4.0
2025-05-03,Laptop,,62614.02,4.0
2025-05-04,Laptop,North,,7.0
2025-05-05,Phone,South,41792.49,5.0
2025-05-06,Laptop,North,61596.05,3.0
2025-05-07,Laptop,North,42460.07,7.0
2025-05-08,Laptop,South,59164.82,16.0
2025-05-09,Accessory,East,35280.06,16.0
2025-05-10,Accessory,South,59304.38,15.0
2025-05-11,Laptop,East,55665.24,5.0
2025-05-12,Accessory,West,69448.05,17.0
,Laptop,North,47049.42,3.0
2025-05-14,,South,45768.22,18.0
2025-05-15,Accessory,North,48850.09,17.0
2025-05-16,Tablet,North,62570.77,15.0
2025-05-17,Laptop,South,41087.88,2.0
2025-05-18,Phone,South,48294.44,12.0
2025-05-19,Accessory,South,73395.7,7.0
2025-05-20,Tablet,North,59363.3,14.0
2025-05-21,Laptop,North,58691.39,6.0
2025-05-22,Phone,East,43746.9,17.0
2025-05-23,Tablet,East,60332.54,6.0
2025-05-24,Accessory,West,,4.0
2025-05-25,Accessory,South,32096.53,14.0
2025-05-26,Phone,East,,5.0
2025-05-27,Phone,North,67012.78,
2025-05-28,Tablet,North,52007.36,12.0
2025-05-29,Accessory,South,38791.2,7.0
2025-05-30,Phone,West,45701.8,10.0
2025-05-31,Laptop,West,55409.32,13.0
2025-06-01,Accessory,South,64178.63,18.0
2025-06-02,Laptop,West,30398.76,8.0
2025-06-03,Accessory,North,66043.77,7.0
2025-06-04,,South,61176.34,8.0
2025-06-05,Accessory,North,41628.63,2.0
2025-06-06,Accessory,East,45207.96,15.0
2025-06-07,Laptop,South,55886.39,6.0
2025-06-08,,North,46561.42,14.0
2025-06-09,Accessory,West,51649.37,4.0
2025-06-10,Phone,West,37278.72,
2025-06-11,Phone,North,28126.59,9.0
2025-06-12,Tablet,South,79144.93,13.0
2025-06-13,Tablet,West,52047.44,3.0
2025-06-14,Accessory,East,52693.43,2.0
2025-06-15,Tablet,North,56105.63,12.0
2025-06-16,Tablet,South,66025.75,14.0
2025-06-17,Laptop,West,61147.16,8.0
2025-06-18,Tablet,West,37659.11,13.0
,Accessory,,48643.86,5.0
2025-06-20,Phone,North,50830.65,12.0
2025-06-21,Tablet,North,59141.33,17.0
2025-06-22,Phone,West,42795.35,19.0
2025-06-23,Laptop,North,54576.27,19.0
2025-06-24,Phone,North,52701.75,6.0
2025-06-25,Tablet,South,66553.63,14.0
2025-06-26,Phone,South,18692.92,4.0
2025-06-27,Laptop,North,50955.05,3.0
2025-06-28,Phone,West,54070.28,8.0
2025-06-29,Phone,East,58094.81,10.0
2025-06-30,Phone,South,49896.92,3.0
2025-07-01,Tablet,South,40056.71,14.0
2025-07-02,Laptop,North,58032.16,19.0
2025-07-03,Phone,East,54424.73,9.0
2025-07-04,Accessory,West,39907.13,
2025-07-05,Laptop,South,33666.43,4.0
2025-07-06,Accessory,East,56693.39,15.0
2025-07-07,Tablet,West,39591.81,7.0
,Tablet,,57798.51,14.0
2025-07-09,Phone,North,68189.86,18.0
2025-07-10,Phone,South,52472.93,16.0
2025-07-11,Phone,,52745.09,1.0
2025-07-12,Tablet,North,,19.0
2025-07-13,Laptop,East,66631.54,1.0
2025-07-14,Tablet,South,66834.89,7.0
2025-07-15,Laptop,West,51011.51,14.0
2025-07-16,Accessory,West,58909.07,7.0
2025-07-17,Accessory,West,50539.45,16.0
2025-07-18,Laptop,North,44036.43,1.0
2025-07-19,Tablet,South,59218.11,12.0
2025-01-01,Phone,West,31545.19,3.0
2025-01-02,Accessory,East,60022.2,1.0
2025-01-03,Tablet,,55725.84,19.0
2025-01-04,Phone,West,44842.87,11.0
2025-01-05,Laptop,North,48935.16,16.0
