Date,Product,Region,Sales,Quantity
2025-01-01,Laptop,East,35619.27,6.0
2025-01-02,Phone,West,52396.56,11.0
2025-01-03,Phone,North,44599.81,14.0
2025-01-04,Phone,East,62126.61,14.0
2025-01-05,Phone,North,49012.14,14.0
,Accessory,South,55650.38,5.0
2025-01-07,Laptop,South,67325.61,16.0
2025-01-08,Tablet,South,49114.89,9.0
2025-01-09,Laptop,West,66103.08,11.0
2025-01-10,Phone,West,58646.45,
2025-01-11,Phone,East,61194.12,1.0
2025-01-12,Phone,North,41459.43,7.0
2025-01-13,Phone,North,52682.97,7.0
2025-01-14,Tablet,North,51929.35,5.0
2025-01-15,Phone,North,59069.71,15.0
2025-01-16,Accessory,North,63682.84,12.0
2025-01-17,Accessory,West,62312.24,19.0
2025-01-18,Laptop,West,57747.39,16.0
2025-01-19,Accessory,East,43844.85,11.0
2025-01-20,Accessory,,,12.0
2025-01-21,Accessory,West,56244.51,9.0
2025-01-22,Phone,West,36485.69,
2025-01-23,Phone,West,46209.63,1.0
2025-01-24,Accessory,West,48999.74,2.0
2025-01-25,Tablet,North,,10.0
2025-01-26,Tablet,East,57109.48,17.0
2025-01-27,Accessory,East,,14.0
,Phone,South,58125.33,18.0
2025-01-29,Phone,North,27438.98,4.0
2025-01-30,Tablet,East,42513.59,19.0
2025-01-31,Phone,West,61222.33,9.0
2025-02-01,Phone,West,,11.0
2025-02-02,Tablet,East,55276.86,19.0
2025-02-03,Laptop,West,80143.36,7.0
,Laptop,East,47627.37,4.0
2025-02-05,Phone,,47935.39,3.0
2025-02-06,,North,25085.04,5.0
2025-02-07,,West,54162.41,15.0
2025-02-08,Laptop,South,67220.94,7.0
2025-02-09,Tablet,South,52569.09,11.0
,Accessory,East,51153.97,10.0
2025-02-11,Laptop,North,85700.2,3.0
2025-02-12,Phone,South,52145.2,19.0
2025-02-13,Tablet,South,52118.13,4.0
2025-02-14,Laptop,East,51502.39,14.0
2025-02-15,Tablet,West,38028.97,19.0
2025-02-16,Phone,North,59276.43,5.0
2025-02-17,Phone,South,65684.89,16.0
