Category,Value1,Value2
Category B,33.06,-5.31
Category A,39.93,9.05
Category C,48.19,-3.72
Category B,61.62,-0.44
Category B,35.6,1.06
Category C,45.21,4.51
Category A,45.6,1.77
Category A,30.0,16.89
Category C,53.74,-4.01
Category C,43.87,7.45
Category C,46.91,7.53
Category A,51.76,-1.6
Category B,37.47,3.35
Category B,37.75,0.97
Category C,63.51,1.27
Category C,49.3,7.71
Category B,60.59,14.14
Category A,64.17,4.21
Category B,53.56,10.77
Category A,40.31,7.75
Category A,68.32,1.46
Category B,47.47,7.75
Category C,44.24,9.66
Category A,53.95,22.73
Category C,58.81,12.34
Category C,55.34,10.61
Category B,46.13,14.79
Category B,59.24,18.21
Category C,42.62,13.83
Category C,54.0,17.16
Category A,47.55,1.93
Category B,40.73,10.63
Category C,57.0,10.59
Category A,54.93,15.25
Category A,44.81,16.42
Category A,44.35,18.71
Category C,51.3,16.98
Category C,59.92,18.31
Category C,64.38,16.43
Category A,45.46,21.89
Category A,56.96,18.15
Category A,60.75,12.2
Category A,39.51,24.82
Category B,49.46,19.01
Category A,35.74,26.39
Category B,49.3,21.37
Category C,57.2,20.82
Category B,53.5,20.59
Category A,59.42,14.91
Category A,51.27,27.11
Category C,38.93,35.22
Category B,49.91,22.09
Category A,65.09,26.44
Category A,38.24,24.42
Category B,72.26,20.34
Category B,49.57,21.19
Category C,49.26,31.72
Category A,41.32,31.53
Category A,65.09,24.9
Category B,18.79,33.24
Category A,55.53,26.53
Category B,65.17,26.26
Category C,51.73,27.32
Category B,53.13,37.63
Category C,70.41,33.96
Category C,37.73,29.4
Category A,58.59,37.77
Category B,41.91,36.49
Category A,50.4,31.66
Category C,63.24,24.49
Category A,42.89,28.99
Category C,54.1,29.81
Category B,39.69,36.94
Category C,49.23,36.83
Category B,56.2,39.96
Category B,55.54,32.59
Category A,46.92,33.88
Category C,48.7,50.49
Category A,52.44,42.43
Category C,47.04,48.78
Category C,43.96,41.05
Category B,72.17,40.33
Category C,52.81,39.47
Category A,41.4,44.25
Category C,81.84,54.41
Category C,58.1,41.91
Category C,45.95,42.14
Category B,52.58,44.42
Category C,46.56,37.17
Category C,63.3,42.2
Category C,63.44,43.03
Category B,33.77,46.99
Category C,39.1,49.47
Category A,51.53,52.1
Category C,41.28,46.97
Category A,48.75,50.76
Category A,49.52,48.66
Category A,63.83,44.91
Category A,64.82,39.36
Category A,60.46,51.64
Category C,40.37,47.88
Category A,47.92,49.86
Category B,44.47,52.74
Category B,52.09,49.49
Category B,51.89,54.32
Category B,48.54,54.82
Category A,58.86,57.33
Category A,53.46,54.28
Category C,43.42,46.58
Category A,56.6,51.23
Category A,51.91,60.02
Category A,53.64,56.86
Category B,56.17,61.11
Category C,48.14,66.44
Category C,59.8,61.6
Category B,44.98,57.45
Category C,74.65,61.59
Category C,60.8,54.23
Category B,61.61,67.16
Category C,42.03,60.5
Category C,53.93,53.96
Category B,40.61,65.02
Category C,42.22,60.98
Category A,56.99,67.35
Category C,67.02,61.26
Category A,54.63,62.0
Category A,57.09,65.95
Category C,41.88,71.96
Category B,28.5,58.14
Category C,69.64,62.41
Category A,37.2,64.54
Category B,43.25,66.81
Category A,49.8,58.4
Category A,30.1,65.1
Category C,33.64,68.68
Category B,50.25,65.82
Category B,39.19,70.19
Category C,47.01,64.46
Category C,57.34,72.97
Category B,50.97,71.59
Category C,49.22,68.39
Category B,53.37,70.97
Category C,31.8,73.87
Category B,45.18,63.73
Category A,71.85,73.17
Category A,61.41,64.63
Category C,47.25,78.79
Category A,32.94,78.31
Category B,45.77,68.76
Category B,54.56,78.27
