Category,Value1,Value2
Category C,61.65,6.96
Category A,53.0,-8.06
Category B,52.71,-3.73
Category B,44.79,-6.02
Category C,44.38,-7.32
Category A,49.76,5.1
Category C,41.71,-5.38
Category B,61.39,8.3
Category A,46.62,5.38
Category B,48.15,3.39
Category A,49.27,20.99
Category B,67.08,12.17
Category C,61.11,11.4
Category A,69.47,9.5
Category C,50.3,1.55
Category B,50.56,2.23
Category C,58.82,12.55
Category A,50.35,13.42
Category B,65.38,23.66
Category A,53.28,4.19
Category C,42.42,13.26
Category A,43.02,5.69
Category B,32.98,4.74
Category C,40.6,15.19
Category B,51.72,10.53
Category C,42.08,11.63
Category A,39.49,6.99
Category B,43.61,9.87
Category B,51.3,26.24
Category A,45.22,29.14
Category B,48.32,20.32
Category B,58.04,9.66
Category A,46.5,12.31
Category B,39.76,7.24
Category A,61.73,19.19
Category A,57.43,15.16
Category C,67.05,14.65
Category B,48.13,21.89
Category B,51.41,14.98
Category B,52.51,17.84
Category A,54.44,13.68
Category B,55.26,16.03
Category A,50.07,14.28
Category C,74.47,19.27
Category C,60.23,17.94
Category B,47.06,22.68
Category A,38.41,23.33
Category A,51.45,20.32
Category C,50.13,30.71
Category B,37.64,23.19
Category A,66.74,25.79
Category C,64.87,18.16
Category B,55.31,33.66
Category C,50.4,20.53
Category A,70.42,27.16
Category A,34.82,26.45
Category C,34.56,21.75
Category A,38.52,31.22
Category A,37.87,29.75
Category C,40.38,29.08
Category B,38.05,27.74
Category C,42.93,32.84
Category C,43.11,31.75
Category A,32.59,31.64
Category A,51.84,17.16
Category C,56.15,29.82
Category B,49.25,39.9
Category B,53.13,34.55
Category B,54.8,33.92
Category A,59.23,28.74
Category C,46.75,34.45
Category A,46.61,35.03
Category A,37.17,35.81
Category B,42.27,36.32
Category A,73.03,34.94
Category C,56.47,33.81
Category C,47.03,28.56
Category B,59.94,33.79
Category B,42.16,42.05
Category B,47.17,37.8
Category C,75.4,35.75
Category A,41.11,43.99
Category A,49.36,42.94
Category B,49.53,41.82
Category A,49.01,45.83
Category A,40.14,45.2
Category B,62.31,46.05
Category B,41.11,44.45
Category B,52.38,39.32
Category C,53.17,38.47
Category B,42.22,36.56
Category B,49.61,43.71
Category B,27.82,38.49
Category B,49.4,40.6
Category A,31.97,44.42
Category A,45.27,52.52
Category A,43.84,50.03
Category C,64.01,51.46
Category A,48.09,51.32
Category A,56.87,45.67
Category A,58.54,53.29
Category A,50.58,44.62
Category C,45.71,52.73
Category A,49.74,50.76
Category C,40.15,48.53
Category B,63.39,51.69
Category C,38.19,60.61
Category C,60.16,55.28
Category A,35.33,39.92
Category A,48.93,52.71
Category C,45.61,57.8
Category A,48.68,59.38
Category B,49.43,56.58
Category A,30.41,58.23
Category C,63.18,52.74
Category A,60.94,58.47
Category B,33.51,64.72
Category B,48.72,51.48
Category A,51.09,59.67
Category C,57.74,65.47
Category A,44.12,52.64
Category C,36.11,66.67
Category C,57.14,59.25
Category C,52.07,57.44
Category B,60.83,54.74
Category B,53.11,58.85
Category C,52.33,62.17
Category C,54.16,58.72
Category C,38.31,60.34
Category C,62.98,64.3
Category C,55.82,61.49
Category A,55.92,67.43
Category C,58.77,67.42
Category B,43.89,67.08
Category C,46.83,74.52
Category C,64.16,67.59
Category B,57.73,64.84
Category A,44.84,64.04
Category C,56.88,66.37
Category C,36.87,73.88
Category B,38.85,66.74
Category C,77.78,71.62
Category B,45.7,67.49
Category B,51.64,73.17
Category B,40.57,72.15
Category C,34.82,67.76
Category A,48.34,84.87
Category C,44.45,68.65
Category C,65.16,72.07
Category C,44.23,74.87
