X,Sin,Cos,HistData
0.0,0.026,0.954,1.805
0.067,0.229,1.009,1.775
0.134,0.169,1.118,1.389
0.201,0.297,0.901,3.256
0.268,0.339,0.969,3.796
0.336,0.404,0.976,1.901
0.403,0.25,0.822,1.412
0.47,0.574,0.756,2.579
0.537,0.573,0.837,4.667
0.604,0.434,0.762,2.122
0.671,0.553,0.8,6.286
0.738,0.635,0.905,3.912
0.805,0.909,0.677,3.755
0.872,0.916,0.773,3.63
0.94,0.798,0.628,0.286
1.007,0.781,0.434,8.897
1.074,0.776,0.365,4.564
1.141,0.811,0.267,2.379
1.208,0.866,0.283,2.702
1.275,0.9,0.215,6.321
1.342,1.028,0.246,2.457
1.409,0.965,0.243,2.93
1.477,0.883,-0.055,4.535
1.544,1.05,-0.145,7.511
1.611,1.022,-0.093,2.461
1.678,0.903,-0.15,5.987
1.745,0.937,-0.146,0.88
1.812,1.076,-0.14,10.228
1.879,0.972,-0.381,1.94
1.946,0.937,-0.549,7.379
2.013,0.853,-0.543,3.779
2.081,0.753,-0.604,3.388
2.148,0.811,-0.617,1.23
2.215,0.89,-0.636,2.209
2.282,0.844,-0.547,2.423
2.349,0.832,-0.702,2.667
2.416,0.89,-0.87,1.95
2.483,0.68,-0.82,6.107
2.55,0.638,-0.846,1.003
2.617,0.474,-1.055,4.044
2.685,0.476,-0.947,2.401
2.752,0.44,-0.913,1.95
2.819,0.262,-0.856,9.287
2.886,0.328,-0.966,4.631
2.953,0.142,-1.071,0.477
3.02,0.132,-0.828,3.428
3.087,0.013,-1.097,2.673
3.154,0.021,-0.774,8.799
3.221,0.09,-0.988,3.742
3.289,-0.08,-0.982,1.294
3.356,-0.199,-0.907,6.693
3.423,-0.46,-1.075,3.302
3.49,-0.31,-0.976,0.929
3.557,-0.501,-0.965,5.389
3.624,-0.288,-0.893,2.911
3.691,-0.556,-0.897,1.264
3.758,-0.7,-0.933,1.863
3.826,-0.716,-0.867,13.895
3.893,-0.651,-0.661,6.036
3.96,-0.928,-0.849,0.768
4.027,-0.793,-0.625,2.543
4.094,-0.777,-0.697,2.507
4.161,-0.789,-0.79,5.173
4.228,-0.923,-0.449,4.823
4.295,-1.017,-0.569,1.432
4.362,-0.843,-0.429,1.983
4.43,-0.911,-0.251,0.634
4.497,-1.041,-0.248,2.889
4.564,-0.972,-0.132,4.316
4.631,-1.017,-0.062,10.843
4.698,-0.932,0.065,0.819
4.765,-1.095,0.079,1.286
4.832,-1.123,0.025,1.829
4.899,-0.95,0.311,4.375
4.966,-0.916,0.364,5.976
5.034,-0.997,0.34,3.085
5.101,-0.94,0.439,1.947
5.168,-1.058,0.347,1.829
5.235,-0.998,0.458,8.327
5.302,-0.83,0.573,7.13
5.369,-0.82,0.485,6.537
5.436,-0.699,0.706,0.941
5.503,-0.743,0.63,9.721
5.57,-0.589,0.957,1.544
5.638,-0.73,0.871,2.339
5.705,-0.535,0.822,0.967
5.772,-0.506,0.928,9.363
5.839,-0.501,0.866,6.426
5.906,-0.334,0.997,4.374
5.973,-0.295,0.809,3.336
6.04,-0.341,1.097,1.646
6.107,-0.075,1.054,7.667
6.174,0.102,0.975,7.294
6.242,-0.117,1.098,1.028
6.309,-0.001,1.014,2.183
6.376,0.091,1.073,0.871
6.443,0.229,1.18,7.315
6.51,0.297,0.987,4.159
6.577,0.329,0.768,2.939
6.644,0.454,0.935,1.842
6.711,0.371,0.918,3.709
6.779,0.441,0.951,1.955
6.846,0.583,0.913,3.964
6.913,0.573,0.821,3.176
6.98,0.577,0.745,4.928
7.047,0.67,0.483,2.33
7.114,0.734,0.811,6.091
7.181,0.567,0.726,1.996
7.248,0.711,0.537,3.423
7.315,0.873,0.58,3.201
7.383,0.972,0.347,5.603
7.45,0.954,0.334,4.937
7.517,1.021,0.326,4.965
7.584,0.942,0.228,9.066
7.651,0.788,0.01,1.366
7.718,1.001,-0.013,4.461
7.785,0.966,0.165,8.294
7.852,1.044,-0.099,4.086
7.919,1.043,0.018,0.994
7.987,0.933,-0.331,2.404
8.054,1.066,-0.275,4.551
8.121,1.064,-0.331,2.503
8.188,0.914,-0.24,2.189
8.255,1.005,-0.489,8.64
8.322,0.848,-0.34,2.39
8.389,0.925,-0.563,2.906
8.456,0.822,-0.443,0.915
8.523,0.607,-0.785,0.457
8.591,0.789,-0.807,3.723
8.658,0.684,-0.667,5.47
8.725,0.542,-0.866,1.943
8.792,0.623,-0.684,3.2
8.859,0.547,-0.899,4.303
8.926,0.573,-0.918,2.167
8.993,0.442,-0.863,6.588
9.06,0.284,-0.854,1.935
9.128,0.241,-1.022,7.447
9.195,0.317,-0.905,4.137
9.262,0.183,-0.951,3.077
9.329,0.056,-0.822,6.427
9.396,-0.179,-1.063,1.693
9.463,-0.128,-1.007,1.249
9.53,-0.037,-1.069,6.317
9.597,-0.092,-1.035,1.026
9.664,-0.077,-0.978,9.629
9.732,-0.259,-0.929,2.105
9.799,-0.629,-0.938,0.536
9.866,-0.398,-0.788,0.193
9.933,-0.411,-0.879,2.341
10.0,-0.4,-0.82,6.533
