Date,Category,SubCategory,Quantity,Price,Revenue
2025-05-03,Fashion,Accessories,4,1768.94,7075.74
2025-04-22,Sports,Team,3,1580.97,4742.9
2025-02-28,Sports,Accessories,2,1589.53,3179.05
2025-05-09,Home,Kitchen,4,533.15,2132.59
2025-04-15,Sports,Team,4,519.21,2076.85
2025-04-15,Home,Furniture,3,401.42,1204.26
2025-01-15,Electronics,Phone,2,413.12,826.23
2025-03-07,Electronics,Phone,4,1791.82,7167.28
2025-04-26,Sports,Outdoor,2,673.62,1347.24
2025-04-15,Fashion,Kids,4,349.05,1396.18
2025-05-09,Books,Fiction,1,1391.36,1391.36
2025-03-06,Home,Kitchen,4,1063.15,4252.6
2025-05-05,Home,Furniture,1,274.27,274.27
2025-02-15,Sports,Gym,2,1745.02,3490.05
2025-06-13,Sports,Gym,4,761.85,3047.4
2025-01-14,Electronics,Accessory,1,105.2,105.2
2025-06-21,Books,Fiction,1,1730.26,1730.26
2025-03-24,Fashion,Men,2,1565.58,3131.15
2025-06-25,Sports,Accessories,2,1365.82,2731.63
2025-04-16,Home,Bedding,3,818.45,2455.35
2025-02-16,Books,Comics,2,1812.05,3624.1
2025-05-01,Fashion,Kids,1,1120.18,1120.18
2025-04-23,Fashion,Men,4,1674.51,6698.03
2025-04-05,Sports,Team,3,251.57,754.71
2025-02-17,Books,Non‑Fiction,2,1313.73,2627.47
2025-04-23,Fashion,Men,1,310.51,310.51
2025-04-30,Home,Bedding,4,128.94,515.75
2025-01-15,Sports,Accessories,2,1075.47,2150.94
2025-04-04,Books,Education,2,1368.08,2736.15
2025-01-17,Books,Education,4,355.65,1422.6
2025-02-19,Electronics,Tablet,2,483.77,967.53
2025-01-22,Fashion,Accessories,2,1053.25,2106.49
2025-06-10,Home,Furniture,1,439.44,439.44
2025-05-09,Books,Comics,1,510.89,510.89
2025-04-01,Electronics,Accessory,4,374.75,1498.99
2025-01-04,Fashion,Kids,2,1450.82,2901.63
2025-05-13,Fashion,Men,1,1261.6,1261.6
2025-01-20,Electronics,Tablet,3,1660.31,4980.93
2025-04-04,Home,Bedding,1,415.77,415.77
2025-04-01,Home,Furniture,4,689.5,2758.0
2025-06-27,Home,Decor,2,464.75,929.51
2025-01-26,Books,Fiction,2,302.16,604.31
2025-01-20,Home,Decor,3,1012.79,3038.36
2025-02-18,Home,Decor,1,146.06,146.06
2025-06-21,Sports,Team,1,1302.61,1302.61
2025-02-17,Electronics,Accessory,3,705.92,2117.75
2025-06-09,Electronics,Laptop,3,1043.9,3131.69
2025-04-27,Fashion,Women,2,1102.0,2204.01
2025-06-09,Books,Fiction,1,642.43,642.43
2025-03-18,Electronics,Accessory,2,1854.86,3709.73
2025-05-23,Fashion,Accessories,3,1058.9,3176.71
2025-02-11,Books,Fiction,3,544.63,1633.9
2025-06-24,Sports,Outdoor,3,131.85,395.56
2025-04-26,Fashion,Accessories,4,746.24,2984.95
2025-03-28,Books,Comics,4,1960.35,7841.41
2025-01-24,Books,Fiction,2,1628.14,3256.28
2025-03-01,Fashion,Men,4,566.15,2264.59
2025-04-09,Electronics,Accessory,1,641.86,641.86
2025-01-01,Books,Education,2,460.15,920.3
2025-04-09,Books,Fiction,3,1648.11,4944.34
2025-05-14,Sports,Outdoor,2,1368.33,2736.67
2025-03-14,Sports,Gym,4,1599.3,6397.19
2025-01-28,Home,Furniture,1,1953.95,1953.95
2025-06-05,Home,Furniture,1,1519.15,1519.15
2025-03-04,Home,Furniture,4,1024.89,4099.57
2025-04-16,Home,Kitchen,2,413.57,827.14
2025-06-23,Home,Furniture,1,1317.31,1317.31
2025-01-07,Electronics,Phone,1,229.95,229.95
2025-01-17,Home,Decor,3,887.45,2662.35
2025-01-31,Sports,Gym,3,856.15,2568.45
2025-06-08,Sports,Outdoor,1,1453.37,1453.37
2025-01-12,Fashion,Men,2,1692.05,3384.11
2025-01-16,Home,Bedding,2,1569.36,3138.72
2025-04-25,Books,Non‑Fiction,3,172.47,517.41
2025-01-28,Home,Bedding,1,646.59,646.59
2025-05-14,Fashion,Kids,3,1357.67,4073.0
2025-01-18,Home,Kitchen,4,1800.02,7200.08
2025-06-22,Sports,Team,4,134.27,537.07
2025-01-23,Books,Education,2,907.61,1815.22
2025-05-13,Home,Furniture,1,211.64,211.64
2025-04-07,Home,Bedding,3,1594.62,4783.85
2025-05-20,Fashion,Accessories,4,322.86,1291.46
2025-05-12,Sports,Gym,1,777.63,777.63
2025-05-21,Fashion,Kids,4,526.29,2105.15
2025-06-02,Books,Non‑Fiction,3,651.61,1954.84
2025-03-29,Sports,Team,2,1508.72,3017.43
2025-01-08,Sports,Team,4,1005.36,4021.46
2025-02-12,Home,Kitchen,4,1112.62,4450.48
2025-03-24,Fashion,Accessories,1,1577.13,1577.13
2025-06-18,Sports,Outdoor,2,412.46,824.91
2025-03-17,Sports,Team,4,1675.46,6701.83
2025-05-13,Electronics,Tablet,1,1571.51,1571.51
2025-06-05,Sports,Accessories,2,1453.87,2907.74
2025-06-18,Fashion,Men,1,1633.11,1633.11
2025-03-31,Home,Decor,2,711.95,1423.9
2025-05-08,Books,Non‑Fiction,3,809.85,2429.56
2025-04-01,Sports,Outdoor,3,1098.25,3294.74
2025-03-13,Fashion,Men,1,218.99,218.99
2025-05-22,Fashion,Kids,3,259.68,779.05
2025-06-06,Sports,Team,1,1341.85,1341.85
2025-05-16,Home,Decor,3,1477.29,4431.87
2025-03-17,Books,Education,3,691.06,2073.19
2025-06-11,Books,Education,4,534.35,2137.39
2025-04-23,Books,Non‑Fiction,1,1196.27,1196.27
2025-02-18,Home,Bedding,3,519.13,1557.4
2025-04-19,Home,Decor,3,1306.1,3918.3
2025-05-02,Sports,Accessories,3,1386.82,4160.46
2025-04-17,Electronics,Phone,1,502.74,502.74
2025-03-27,Home,Bedding,1,1201.43,1201.43
2025-02-17,Sports,Accessories,1,1315.9,1315.9
2025-03-04,Fashion,Kids,3,1645.6,4936.8
2025-01-21,Books,Non‑Fiction,2,796.03,1592.06
2025-03-07,Fashion,Women,2,1841.74,3683.48
2025-02-16,Home,Decor,4,1350.27,5401.08
2025-06-10,Home,Decor,3,315.36,946.09
2025-04-12,Electronics,Tablet,2,769.55,1539.11
2025-01-25,Home,Furniture,1,871.94,871.94
2025-03-21,Books,Comics,2,767.87,1535.75
2025-03-11,Home,Bedding,3,1399.79,4199.38
2025-06-24,Electronics,Tablet,1,687.24,687.24
2025-06-08,Books,Comics,1,726.77,726.77
2025-04-06,Sports,Team,2,1391.58,2783.16
2025-02-07,Home,Decor,3,702.5,2107.5
2025-03-31,Fashion,Men,4,1420.15,5680.61
2025-05-07,Electronics,Tablet,4,375.78,1503.12
2025-04-22,Sports,Team,1,1409.63,1409.63
